nr;Hotelname;Adress;Zipcode;Place;Numberofrooms;Reviewtitle;Reviewtext;Reviewrating;Yearwrotereview
12318;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Uitstekende service voor een goede prijs;Makkelijk bij uitvalswegen voor het bezoeken van diverse plaatsen. Dagtripje naar Ameland of Schiermonnikoog is goed te doen. Dinerkeuze was zeer gevarieerd. Vriendelijk en behulpzaam personeel. Kamers lekker groot. Alleen de kussens aan de kleine kant. Verschilt met andere van.;5;2017
 5424;Hotel Ameland;Strandweg 48, 9163 GN Nes, Ameland Nederland;9163 GN;Nes, Ameland; 37;Midweek uitwaaien op Ameland;Buien en opklaringen wisselden elkaar in hoog tempo af, maar we hebben genoten van ons verblijf in hotel Ameland in Nes. Prima uitvalsbasis. Op een kilometer afstand van het brede zandstrand en van het leuke dorpje vol terrassen, restaurants en monumentale commandeurshuizen,.;4;2019
 5281;Stenden Hotel;Rengerslaan 8, 8917 DD Leeuwarden Nederland;8917 DD;Leeuwarden; 28;Een prachtig Hotel;Een vriendelijk hotel ongeveer vijftien minuten lopen aangename canal vanaf het centrum. Het hotel maakt deel uit van de universiteit die interessant is als u de ingang van het hotel een drukke school gang te vertrekken. Er is voldoende scheiding zodat de kamers erg stil zijn en.;5;2015
 8810;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Mooi hotel, geweldige locatie;Hier verbleven met enkele collega's op een zakenreis en het hotel kon niet beter gesitueerd zijn, u loopt uit het station en het hotel ligt direct tegenover u. Perfect hotel voor ons verblijf, goede kamers, vriendelijk personeel en goed ontbijt. Ook zijn de Grijze.;5;2015
 3808;Van der Valk Hotel Wolvega-Heerenveen;Atalanta 10, 8472 CA, Wolvega Nederland;8472 CA;NA;105;Heerlijk!!;Prima verblijf. Rustig gelegen en zeer grote kamer 38m2!! Heerlijk bed en dito kussens. Badkamer tevens erg ruim en met bad en douche. Bediening is uitstekend, zowel in het restaurant alsook de receptie. Komen zeker terug;5;2017
12111;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Super Friesland;Na een 3 dag's bezoek zijn we bij het verlaten van het hotel iets vergeten mee te nemen van onze kamer. Het betrof een oplader van de gsm. Een dag na ons vertrek gebeld met Van der Valk in Drachten en gevraagd of ze dat hadden gevonden, en dat was zo. De oplader zouden ze naar.;5;2017
12453;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Prima hotel;Ik vond het een prima hotel. Er is voldoende parkeergelegeheid, goed bereikbaar. Vriendelijk personeel en lekker eten. Slapen was ook prima omdat het gewoon stil is ondanks dat het dicht bij de snelweg ligt.;5;2017
 9936;WestCord Hotel Schylge;Burg. van Heusdenweg 37, 8881 ED West-Terschelling, Terschelling Nederland;8881 ED;West-Terschelling, Terschelling;NA;uitstekend hotel;Dit was de 2e keer dat wij in dit hotel verbleven. In eerste instantie een kamer geboekt  met landzicht, voorzijde, maar konden een kamer krijgen met zee-zicht. Omgeboekt en hebben daar geen spijt van gehad. Uitzicht waddenzee en de haven. Kamer was prima in orde en er waren.;5;2012
 8168;Landal Schuttersbos;Duinweg Midsland 93, 8891 HR Midsland, Terschelling Nederland;8891 HR;Midsland, Terschelling;NA;Ontspannen net buiten Midsland!;Fantastisch ontspannen kleinschalig vakantiepark. Uitmuntende service, schone en sfeervolle huisjes. Dicht bij het strand wandelend of met de fiets.   Als je op het park bent ziet u meteen hoe de heggen en struiken zorgen dat de huisjes lekker vrij zijn. Voor de kinderen is een.;5;2017
 2094;Hotel Nap;Torenstraat 55, 8881 BH West-Terschelling, Terschelling Nederland;8881 BH;West-Terschelling, Terschelling; 32;Prima hotel op toplocatie;Wij zijn 1 nacht in dit hotel geweest. Nette kamers en vriendelijk personeel. Op de dag dat wij weggingen werden alle kamers voorzien van kleine koelkastjes, dus die zijn sinds vandaag ook aanwezig. De ligging van het hotel is erg fijn! Binnen 5 minuten (minder nog) ben je bij.;5;2019
11938;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Wat vind ik van ?;Gezellig restaurant met vriendelijk personeel, service is zoals het hoort. Snel en vriendelijk. Het eten is uitstekend en menu is elke keer dat wij komen anders. Kamer ruim en bedden goed. Schone ruime badkamer.;5;2017
11696;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Prima en comfortabel overnachtingshotel;Prima en zeer rustig gelegen hotel voor overnachting tijdens ons verblijf in Friesland. Ruime kamer, prima douche, goed ontbijt. Jammer dat er geen tweepersoonsbedden waren. Overigens waren de twee tegen elkaar aangeschoven eenpersoonsbedden beide zeer royaal.;4;2017
 4445;Westcord Strandhotel Seeduyn;Badweg 3, 8899 BV, Vlieland Nederland;8899 BV;NA;NA;Vergane glorie?;Hotel ligt op een uitstekende lokatie, pal aan zee. Het geheel geeft wat weg van een ziekenhuis in de dependance. Kamer is ruim, storend is de continue brom van de airco. Bij binnenkomst lag er nog een verloren ballon op de kamer ? Misschien een erfenis van Mw. Tensen haar.;2;2014
 7701;Qurios Ameland;Oranjeweg 40, 9161 CC Hollum, Ameland Nederland;9161 CC;Hollum, Ameland;NA;Oud en Nieuw 2018 Ameland;We verbleven van 31 december 2018 tot 4 januari 2019 met 7 personen in twee Sea House Royal lodges op het park.   Het park is vrij nieuw, is ruim opgezet met voldoende ruimte rondom de lodges, je waant je letterlijk midden in de duinen. De lodge is van alle gemakken voorzien,.;5;2019
 2544;Appartementenhotel Tjermelan;Oosterend 2, 8897 HZ Oosterend, Terschelling Nederland;8897 HZ;Oosterend, Terschelling; 16;Herfstvakantie;Wat hebben we genoten van het appartement.  Wij hadden een appartement met sauna.  Ieder avond heerlijk gebruik van gemaakt. Het ontbijt was perfect iedere morgen. Het is zeker een aanrader. Fietsen gehuurd en lekker het eiland fietsend herontdekt. Na vele jaren teruggekeerd,.;5;2016
 2097;Hotel Nap;Torenstraat 55, 8881 BH West-Terschelling, Terschelling Nederland;8881 BH;West-Terschelling, Terschelling; 32;Leuk, onder de voet van de Brandaris.;Kamer nummer 6 klein maar netjes en zeer schoon. Pas op het afstappen als je de kamer binnen komt en opstap naar badkamer is vooral 's nachts niet handig. Soms stevige brom van airco of koeling. Goed ontbijt maar voor de prijs die je betaald kan het iets luxer. Personeel zeer.;4;2018
 8218;Boerderij Welgelegen;Welgelegen 15, 8571 RG Harich Nederland;8571 RG;Harich; 16;Leuk hotelletje, aardige bediening, lekker eten.;Dit hotel zag er aan de buitenkant heel mooi uit. De kamers hadden wat schoner gekund. Er zat hier en daar een spinnetje met bijbehorend web. Verder waren het nette kamers met een leuk buiten zitje. Het personeel was erg vriendelijk en het eten erg lekker.;3;2016
 2820;Landgoed Lauswolt;Van Harinxmaweg 10, 9244 CJ Beetsterzwaag Nederland;9244 CJ;Beetsterzwaag;NA;Schitterend hotel in dito omgeving;Het landgoed Lauswolt ligt werkelijk prachtig in het groen. De heerbaan van toen, is nu de golfbaan. Het oude huis ademt de chic van vroegere tijden. De nieuwere aangebouwde delen zijn helaas minder geslaagd. Feitelijk doen ze afbreuk aan het oorspronkelijke huis. Wij sliepen in.;5;2018
 3258;Post-Plaza Hotel & Grand Café;Tweebaksmarkt 27, 8911 KW Leeuwarden Nederland;8911 KW;Leeuwarden; 82;Aantrekkelijke horecalocatie in historisch pand in centrum van Leeuwarden;Eindelijk deze mooie horecagelegenheid (het Grand Café) eens bezocht. Het historische en mooie voormalige PTT/KPN-gebouw is prachtig omgebouwd tot een horecavoorziening die als aanwinst voor de stad mag worden aangemerkt. Je kunt hier komen als toerist en het hotel boeken.;4;2016
 3063;Landgoed Lauswolt;Van Harinxmaweg 10, 9244 CJ Beetsterzwaag Nederland;9244 CJ;Beetsterzwaag;NA;fantastische service en beleving;van het begin tot het eind was het genieten. het begon met een gastvrije ontvangst, een prachtige kamer (de luxe) en een uitmuntend diner in het restaurant. het ontbijt op zondagochtend was ook een topper te noemen. tot slot was zelfs het uitchecken een gastvrije ervaring..;5;2016
 8340;Camperplaats Leeuwarden;De Zwemmer 3 Jachthaven, 8939 CA Leeuwarden Nederland;8939 CA;Leeuwarden;NA;Met de camper naar Leeuwarden;Twee dagen met de camper aan de haven gestaan met een grote Friese tjalk op een meter afstand voor onze neus. Een camperplaats met nagenoeg alle voorzieningen welke je als camperaar fijn vindt. Bij aankomst kon je beschikken over een pakket met toeristische informatie betrekking hebbend op Leeuwarden, Europese culturele hoofdstad van het jaar. Als extra twee gratis (Arriva) dagkaarten om de stad te bezoeken. Prachtige camperplaats..;4;2018
13309;Hotel Restaurant De Jong;Reeweg 29, 9163 GT Nes, Ameland Nederland;9163 GT;Nes, Ameland;  9;Mooi, redelijk, vriendelijk;Erg leuke en gezellige plek. Had net een kopje haken. Product is geweldig. Wil terugkomen voor eten en een bed. Misschien de volgende reis. Als mijn kinderen met mij en ze genoten van besluitvorming en kleurstoffen tekeningen.;5;2017
11186;Van der Valk Hotel Hardegarijp;Rijksstraatweg 36, 9254 Hardegarijp Nederland;NA;NA; 31;Gezellig gemoedelijk;Net en keurig personeel,goede keuken en gezellig terras met goede buiten stoelen om lekker lang te genieten.Aan de receptie balie netjes te woord gestaan met uitleg over omgeving. Suite geboekt, zeer ruim maar geen koelkastje en airco  ,dat misje want hele dag staat de zon daar.;3;2014
13323;Hotel Restaurant De Jong;Reeweg 29, 9163 GT Nes, Ameland Nederland;9163 GT;Nes, Ameland;  9;Kon aangenamer.;Namen in het restaurant van dit hotel een lunch. Ondanks weinige klanten liet de bediening wat op zich wachten. De geserveerde gerechten waren lekker en voldeden aan onze wensen. Gelukkig compenseerde de vriendelijkheid van de jongste dame  van de bediening deze van de oudere.;3;2018
11619;Strandhotel Terschelling;Badweg Formerum 4, 8894 KW Formerum, Terschelling Nederland;8894 KW;Formerum, Terschelling;  7;Vreselijk personeel;Verschrikkelijk personeel. Arrogant en hooghartig. Niet naar toe gaan. Er is 1 ober waar je de kans bij loopt om afgeschoten te worden. Echt zeer onklantvriendelijk Zijn pas om 11 uur open voor koffie en vegen je letterlijk de zaak uit. Onaardig terwijl de zaak zelf er leuk uit.;1;2015
 7753;Hotel Lemmer;Polderdijk 2, 8531 EW Lemmer Nederland;8531 EW;Lemmer;NA;Comfortabel verblijf;Makkelijk te vinden en dicht bij het centrum. Parkeren is op het terrein die in deze stad erg handig is. Het personeel is erg vriendelijk en de service is uitstekend. Als u overweegt om deze prachtige stad te bezoeken, dan is dit hotel absoluut een must om een perfecte tijd te.;5;2019
 5444;Hotel Ameland;Strandweg 48, 9163 GN Nes, Ameland Nederland;9163 GN;Nes, Ameland; 37;Leuk eiland om eens een weekend weg te zijn;Mooie grote kamer, leuk hotel met smorgens een goed ontbijt. Wij hadden inbegrepen fietshuur en waren daar goed over te spreken. Hele mooie gazelle fietsen met versnellingen en verlichting, fietsen waren in nieuwstaat. Ook heel leuk om het hele eiland rond te rijden, ongeveer 40.;4;2015
 7909;Claes Compaen;Heereweg 36, 8891 HT, Terschelling Nederland;8891 HT;NA; 10;Kleine maar gezellige hotel;Kleine maar gezellige hotel gerund door geweldige mensen. Kamers zijn schoon, de ligging is perfect en er is een zeer gevarieerd ontbijtbuffet waard is vroeg opstaan voor. Het centrum is vlakbij en het hotel zelf ligt aan de rand van een bos met mooie fietsroutes.;5;2014
 1876;Hotel Zeezicht Vlieland;Havenweg 1, 8899 BB, Vlieland Nederland;8899 BB;NA; 41;Hotel Zeezicht: een echte aanrader voor een paar dagen weg!!!;Een goed hotel met een prachtig uitzicht op de wadden! Uitgebreid ontbijt met werkelijk alles er op en er aan en 2 keer heerlijk gedineerd in de avond. Vriendelijk personeel en keurige kamers! Een echte aanrader! Leuke aanbiedingen. Wij hadden het 3-daagse fietsarrangement.;5;2017
10511;WestCord ApartHotel Boschrijck;Sportlaan 5, 8881 EP, Terschelling Nederland;8881 EP;NA;NA;heerlijke plek, geweldige service;Bosrijk ik mooi gelegen, de appartementen zijn ruim en schoon. De dames bij de receptie zijn bijzonder vriendelijk en hulpvaardig. We hebben onze zeer welkom gevoeld, en er wordt pro-actief meegedacht. Deze maat van service kom je niet veel meer tegen. Wij komen zeker terug, en.;5;2013
11637;Strandhotel Terschelling;Badweg Formerum 4, 8894 KW Formerum, Terschelling Nederland;8894 KW;Formerum, Terschelling;  7;Lekker drankje doen met hapje;Heerlijk een drankje gedaan met prima vlees bitterballen  een echte aanrader. Prijs redelijk in verhouding met de goede bediening. Daarna weer de fiets pakken en de calorieën verwerken. Het hotel is zeer geschikt om daar van uit even het strand bij ë te verkennen.;5;2018
 4027;WestCord Hotel Noordsee;Strandweg 42, 9163 GN, Ameland Nederland;9163 GN;NA;NA;aangenaam verblijf;Wij hadden een comfortkamer. Prachtige kamer, helaas in een hoek weggestopt, met uitzicht op de parkeerplaats achter het hotel. Goed bed, schone kamer, ruim, grote badkamer. Receptie erg vriendelijk, goede service, behulpzaam. Restaurant erg matig. Misschien nieuw personeel,.;3;2012
12406;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;goed;vriendelijk eenvoudig goed   maar fijn dat een hond welkom is  .. toch heel belangrijk...we hadden een beneden kamer was fijn maar zag er niet erg fris uit als je buiten zat geen schone terras fijn dat er koffie aan wezig was;4;2019
 3607;Post-Plaza Hotel & Grand Café;Tweebaksmarkt 27, 8911 KW Leeuwarden Nederland;8911 KW;Leeuwarden; 82;Prachtig hotel;Prachtig hotel met veel oog voor detail. De naam, de inrichting en nog meer gimmicks verwijzen naar het voormalig postkantoor. Gerben van der Molen heeft opnieuw een prachtig ontwerp vervaardigd. De keuken is prachtig open. De bar midden in het Grand café een eyecatcher. Een.;5;2016
12409;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Degelijk en praktisch;Prima locatie voor verschillende bezoeken en net als eerder prima ontvangst en service. Keurige kamer en vlot te ontbijten. Kamer naar behoefte te ventileren. Prima bedden en goede hygiëne op de kamer en in de badkamer.;5;2019
11725;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;goed;bij de receptie hadden wij een heel aardig meisje, (blond lang Haar)  ze waren niet allemaal even vriendelijk. fietsenstalling te klein, wij konden de fietsen niet binnen kwijt. er is volgens ons genoeg ruimte om de stalling groter te maken, gezien het grote aantal mensen die.;3;2017
 8571;Bed en Breakfast de Getijden;Berkenlaan 15, 8899 BP, Vlieland Nederland;8899 BP;NA;NA;Ongastvrij;"""Reeds maanden van te voren geboekt, ivm een huwelijksfeest. Inmiddels was onze zoon geboren, die we graag mee mee wilden nemen naar deze b&b. We hebben een heel lieve, rustige zoon van zes maanden, die je ook 's nachts niet hoort. Toen ik de b&b drie weken voor vertrek mailde met het verzoek of hij mee mocht, kregen we een kort aangebonden reactie terug.  Hij was niet welkom. Toen ik vroeg naar voorwaarden waarin dit vermeld werd, dat kinderen niet welkom zijn, werd er gemaild dat ik """" maar in de huisvoorwaarden moest kijken'. Ook deze waren niet te vinden op de website. Ze hebben geen enkele moeite gedaan om met ons mee te denken, ook niet toen ik aangaf dat het moeilijk was om op zo""""n korte termijn nog iets te vinden. Dat onze zoon niet welkom was, is nog voor te stellen (mogelijk een gehorige b&b?), echter hun onvriendelijke reactie was totaal niet passend en ongastvrij..""";1;2017
 3205;Post-Plaza Hotel & Grand Café;Tweebaksmarkt 27, 8911 KW Leeuwarden Nederland;8911 KW;Leeuwarden; 82;PostPlaza01aug2019;De locatie is uitstekend, midden in het centrum. Het hotel is schitterend gerenoveerd van post- en bankgebouw in een mooi hotel met originele handhaving van de oorspronkelijke inrichting. De kamers zijn voldoende ruim, met een aparte badkamer, met een te grote open ingang naar.;5;2019
12855;Strandhotel Vigilante & Strandhuys Makkum;Holle Poarte 10, 8754 HC Makkum Nederland;8754 HC;Makkum;NA;Prima hotel op een schitterende plaats;De ontvangst was heel vriendelijk en professioneel. Door het verschrikkelijke herfstweer was er geen mogelijkheid om te genieten van het terras, maar binnen was het ook lekker bij de open haard. De kwaliteit van het geboden eten was prima in orde en ook de prijs/kwaliteit.;4;2017
 6376;Hotel de Wijnberg;Marktplein 5, 8701 KG Bolsward Nederland;8701 KG;Bolsward; 26;Weekend Friesland;Top lokatie in de mooie binnenstad van Bolsward. Goede kamer gekregen op de 3de (top) etage. Bereikbaar via een lift. Lekker en goed verzorgd ontbijt. Met arrangement geboekt met 1 diner. Het was wel een klein beetje teleurstellend dat je bijna altijd wel moet bijbetalen..;5;2017
 8963;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;super hotel;wij hebben 1 nachtje gelogeerd in het oranje hotel omdat we naar een theater gingen in de harmonie  het was gewoon in en woord super . het personeel was heel vriendelijk behulpzaam ,aardig het hotel was schoon en  gezellig;5;2015
 2069;Hotel Nap;Torenstraat 55, 8881 BH West-Terschelling, Terschelling Nederland;8881 BH;West-Terschelling, Terschelling; 32;Gezellig en prima hotel;Ligging van dit hotel bij de vuurtoren Brandaris is gezellig, zeker in de winter heb je alles dichtbij en een prima uitval hoek voor wandelingen en fietstochten. midden in het centrum dus uitgaansgelegenheden, winkeltjes en de haven alles is dichtbij. Keurige kamers met prima.;4;2015
 3866;Van der Valk Hotel Wolvega-Heerenveen;Atalanta 10, 8472 CA, Wolvega Nederland;8472 CA;NA;105;Prima adres;Na een warm welkom aangekomen in een prettige zaal, alles top geregeld en ruim voorradig, diner savonds perfect met een zeer zorgzame gastvrouw, kamer zeer goed, ruime badkamer en heerlijk bed, kamer voorzien van een goed werkende airco, lekker ontbijt en twee zeer zinvolle.;5;2017
 1690;Stadsherberg Sneek;Lemmerweg 8, 8607 BZ Sneek Nederland;8607 BZ;Sneek;  9;Fantastische locatie en kamers! Vriendelijk personeel.;We waren een grote groep en boekte 7 kamers voor een familiefeest. Mijn man en ik hadden een kamer nummer 5 en het was geweldig. Enorme ramen. Sommige kamers hebben een kitchenette. Zeer comfortabele bedden. Niet zoals de kussens (maar ik ben moeilijk met kussens) .  Typisch.;5;2017
 5935;Hotel Graaf Bernstorff;Reeweg 1, 9166 PW, Schiermonnikoog Nederland;9166 PW;NA; 18;Geweldig hotel;Geweldig hotel, we hadden kamer 15 wat erg ruim, schoon en goed verzorgd. En deze kamer had een geweldig uitzicht op de straat aan de voorkant van het hotel. Ook het ontbijt was erg goed. Geweldige lokale ingrediënten en mooi gepresenteerd als een buffet. Prachtige plek voor een.;5;2016
 8734;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Goed hotel;Het hotel ligt tegenover het station en vanaf het hotel ben je zo in de binnenstad. Mooie grote kamer! Bed was iets te zacht maar dat is persoonlijke voorkeur. Zou er zo nog een keer verblijven. Ontbijt niet gehad dus daar kan ik niet over oordelen;4;2016
 7398;B&B De Postoari Terschelling;Dorpsstraat 25, 8896 JA Hoorn, Terschelling Nederland;8896 JA;Hoorn, Terschelling;  4;Gezellig B&B;Het B&B is gevestigd in een oude pastorie in het dorpje Hoorn op Terschelling. Het ontbijt is goed en uitgebreid en wordt persoonlijk door Flang geserveerd in zijn kookstudio. bij het ontbijt worden streekproducten, van het eiland, en biologische producten geserveerd. In deze.;5;2016
11506;Hotel Posthuys Vlieland;Postweg 4, 8899 BZ, Vlieland Nederland;8899 BZ;NA; 14;heel goed;de locatie is subliem, de kamer prima, de service goed, het restaurant goed      Het ligt op de meest verlaten  oord van Nederland, er is niets dan duinen, zee, strand, bos, wind, water, vogels en zeehonden. Daardoor geweldig. Een plek met meer persoonlijkheid is er in Nederland.;4;2015
 8494;Appartementen Koningskaars Schiermonnikoog;Badweg 67, 9166 NG, Schiermonnikoog Nederland;9166 NG;NA;NA;Gewoon wow.;De mooiste uit elkaar waar we ooit hebben verbleven. Alles gloednieuw, alles stijlvol op een toplocatie met een eigen zitgedeelte buiten als u een kamer op de begane grond boekt. 500 m van het sportstrand, 1 km naar het dorpscentrum met veel restaurants en een supermarkt. Huur fietsen! Gezinsvriendelijk, grote slaapkamer en mooie kinderkamer met wat speelgoed en spelletjes om te spelen. Keuken heeft alles wat je nodig hebt. TV is groot en heeft netflix. Alles perfect. Zeer prijzig voor Schiermonnikoog hoor! Pas op voor ongeveer 200 Euro kosten nadat u al voor de kamer hebt betaald. (Eindschoonmaak, babybedje dat we niet nodig hadden, lakens, toeristenbelasting)..;5;2019
 3012;Landgoed Lauswolt;Van Harinxmaweg 10, 9244 CJ Beetsterzwaag Nederland;9244 CJ;Beetsterzwaag;NA;Fantastische plek om te dineren, overnachten en relaxen;Wederom in Lauswolt verbleven, nu voor het derde jaar op rij weer genoten van het sublieme overheerlijke vegetarische menu in de Heeren van Harinxma. Met perfect bijpassende wijnen. Daarnaast zijn de sfeer, de locatie, het personeel, de service, de kamer, de wellness, de borrel.;5;2019
 2493;Bed & Breakfast Ytsma State;Straatweg 31, 8535 WG Follega Nederland;8535 WG;Follega;  3;Liegt schön und zentral!;Netter Empfang von der Besitzerin! Sehr sauber und liebevoll eingerichtet ! Das Kajüten Frühstückszimmer ist sehr gemütlich! Unser Zimmer war und Bad war sehr sauber und gross! Wir werden gerne wieder kommen !;4;2018
  802;WestCord WTC Hotel Leeuwarden;Heliconweg 52, 8914 AT Leeuwarden Nederland;8914 AT;Leeuwarden;143;Lekker ontspannend uitje gehad;We vonden het hotel lekker, mooie ruime kamer met een prachtige badkamer. Het bed lag lekker. De oplossing voor het buro was erg mooi. Alleen was het jammer dat we aan de casino kant sliepen want dat geeft snacht wat overlast. Ook het eten in Eleve was erg lekker.;4;2016
  905;WestCord WTC Hotel Leeuwarden;Heliconweg 52, 8914 AT Leeuwarden Nederland;8914 AT;Leeuwarden;143;Zeer stijlvol hotel. Uitstekend ontbijt met een vogels-eye uitzicht!;Zeer comfortabel verblijf. Het hotel is vrij ruim en elegant. De kamer was immodestly ingericht. Ontbijt was heerlijk met een uitzicht over de stad. De receptie personeel was zeer professioneel en snel.;5;2015
 2729;Landgoed Lauswolt;Van Harinxmaweg 10, 9244 CJ Beetsterzwaag Nederland;9244 CJ;Beetsterzwaag;NA;Superlatieven te kort;We hebben een weekend genoten van alles wat dit mooie hotel te bieden heeft. Goed opgeleid personeel, hartelijke ontvangst, fijne kamers met prima bedden, heerlijke gerechten en een prachtige omgeving. Tijdens ons weekend vond het jaarlijkse zomerconcert plaats in de tuin van.;5;2018
12388;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Heerlijk;Hotel zit op een goede locatie. Personeel erg vriendelijk. Wij zijn voor de tweede keer geweest en komen zeker nog een keer. Zowel avondeten als ontbijt is uitstekend. Kamer prima in orde. Lekker groot bed en veel ruimte.;5;2015
10283;WestCord Hotel Schylge;Burg. van Heusdenweg 37, 8881 ED West-Terschelling, Terschelling Nederland;8881 ED;West-Terschelling, Terschelling;NA;Duur hotel met matige service.;Wij zijn van dit hotel niet echt super blij geworden. We hadden op verzoek precies laten weten met welke boot we aankwamen en bij aankomst was de kamer niet klaar. Op verzoek hebben we de fietsen wel vast mee kunnen nemen (eerst een met zachte banden en kapotte handrem). We.;2;2015
  792;WestCord WTC Hotel Leeuwarden;Heliconweg 52, 8914 AT Leeuwarden Nederland;8914 AT;Leeuwarden;143;A Place to come back;L.S.  Hoe was het ?  Ten eerste is het altijd weer fijn een plek in een stad te treffen die als ijkpunt dient voor je verblijf !!  De reden dat we regelmatig vertoeven in Leeuwarden is Schoonpappa die in Erasmushiem woont. Meestal gaan we dan in de avond met de familie in.;5;2017
 7510;Hotel Altijd Wad;Trompstraat 6, 8881 AV West-Terschelling, Terschelling Nederland;8881 AV;West-Terschelling, Terschelling;  5;Logeren in het tuinhuis;AltijdWad is een klein , speciaal hotel! Een soort thuis van huis. En logeren in het tuinhuis was een feestje! We zaten een beetje meer privé, maar konden toch gezellig & lekker ontbijten in de sfeervolle ontbijtkamer . We komen zeker weer ns!!;5;2015
 8737;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Fijn hotel...;Al het personeel in dit hotel was erg vriendelijk. We hebben ons verblijf, als zeer fijn ervaren. We hadden een superior kamer die erg ruim was. De  bedden sliepen heerlijk en alles was  heel erg schoon. De badkamer zag er ook netjes uit.;5;2016
 3233;Post-Plaza Hotel & Grand Café;Tweebaksmarkt 27, 8911 KW Leeuwarden Nederland;8911 KW;Leeuwarden; 82;Uitstekend verblijf in het Oude Postkantoor!;Wat is dit goed gedaan! Het Oude Postkantoor is omgebouwd tot een hotel en Grand Café.  Natuurlijk zijn er dan beperkingen in zo'n oud pand, maar wij vonden dat het met smaak was opgeknapt en ingericht! We hadden een arrangement met twee keer ontbijt en een drie gangen diner..;4;2018
 2782;Landgoed Lauswolt;Van Harinxmaweg 10, 9244 CJ Beetsterzwaag Nederland;9244 CJ;Beetsterzwaag;NA;Friese klasse;Uitstekende ervaring.  Kunnen sommige Bilderberghotels voorbeeld aan nemen. Maaltijden een aparte ervaring met verrassende gebruikte elementen. Ook eigen geoogste kruiden goed gebruikt. Onbijtservice ook een 10.;5;2015
 2874;Landgoed Lauswolt;Van Harinxmaweg 10, 9244 CJ Beetsterzwaag Nederland;9244 CJ;Beetsterzwaag;NA;top locatie;Fantastisch weekend gehad. Goede service, fijne kamers, oog voor detail en heerlijk gegeten. De bediening is attent zonder overheersend te zijn en door het hele hotel is er oog voor kwaliteit. Echt een plek om vaker naar toe te gaan;5;2015
 5300;Stenden Hotel;Rengerslaan 8, 8917 DD Leeuwarden Nederland;8917 DD;Leeuwarden; 28;Gewoon even naar toe gaan!;Gewoon heel goed. Jonge mensen die het 'hospitality' vak willen leren zetten zich enorm in om een prettig verblijf mogelijk te maken. En... je waant jezelf weer student want het hotel en restaurant zijn gevestigd in de Hogere Hotelschool.;5;2017
12763;Strandhotel Vigilante & Strandhuys Makkum;Holle Poarte 10, 8754 HC Makkum Nederland;8754 HC;Makkum;NA;3 volwassenen;Fijn hotel, goede bedden en prachtig verbouwd restaurant. Ontbijtbuffet is zeer uitgebreid en vers.  Vriendelijk personeel. Mooie omgeving. Fijn om te fietsen. Ruim strand naast het hotel. Dorp Makkum is gezellig en knus.;4;2018
 2020;Hotel Bornholm Terschelling;Hoofdweg 6, 8881 HA West-Terschelling, Terschelling Nederland;8881 HA;West-Terschelling, Terschelling; 64;Budgetkamer geen aanrader, ontbijtbuffet wel;Doordat we wat aan de late kant geboekt hadden voor het hemelvaartsweekend waren er niet meer veel opties op Terschelling. We zijn daardoor terecht gekomen in een budgetkamer in de kelder/souterrain van hotel Bornholm. Kamer is klein en warm. Er kan slechts een klein raam een.;3;2014
11073;Van der Valk Hotel Hardegarijp;Rijksstraatweg 36, 9254 Hardegarijp Nederland;NA;NA; 31;een echte ouderwetste van de Valk d;Hotel van der Valk is gedateerd  verder  alles prima in orde ligt in een rustig wijk en deed ons denken aan hotel Gilze Rijen met Gerrit van de Valk we werden altijd vriendelijk ontvangen door mr en mevr van de valk jammer genoeg moesten we eerder naar huis omdat mijn vrouw ziek.;5;2017
 4498;Westcord Strandhotel Seeduyn;Badweg 3, 8899 BV, Vlieland Nederland;8899 BV;NA;NA;Genieten aan zee;Zeeduin ligt fantastisch direct aan het strand. De familiekamers in het nieuwere gedeelte zijn heerlijk ruim. Het horecagedeelte kan beter, maar het is ruim voldoende. Er gaat in de organisatie wel eens wat mis, maar ze lossen het wel altijd op.;4;2016
